_id,title,description,sku,price,size,imageLink,slug,category
8c0f5b7a-2a72-49f3-ae47-94d1d9174257,Small Steel Bacon,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",UQZ-207,257.00,H,http://primary-touch.net,small-steel-bacon,Tools
5c171605-d120-4c83-8671-9293bc58b6cd,Awesome Rubber Mouse,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",PVN-677,479.00,Q,https://plastic-inhabitant.biz,awesome-rubber-mouse,Clothing
006a7961-1875-4872-a57b-ad925f05d556,Tasty Metal Chips,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",YYQ-212,527.00,M,http://relieved-fall.org,tasty-metal-chips,Computers
a858904b-68ac-4c3e-a28c-f41356d4e40d,Handmade Metal Shoes,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",PBG-135,860.00,L,https://whole-probability.name,handmade-metal-shoes,Movies
5990a5d8-7e7c-45d2-b12b-32f2ade329a6,Awesome Rubber Bacon,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",ZME-227,792.00,L,http://evil-courage.info,awesome-rubber-bacon,Grocery
2f81efcb-ac01-49b6-941c-4be82b8cce33,Modern Frozen Keyboard,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,KCS-191,920.00,Z,http://paltry-riot.com,modern-frozen-keyboard,Tools
41e6f078-9319-4b3f-a7c0-d71dbc824df0,Generic Plastic Gloves,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",HMF-725,133.00,P,http://private-society.net,generic-plastic-gloves,Music
767d19ff-b0d6-4f39-b3bd-05c98ff6816a,Unbranded Rubber Towels,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",KBQ-669,864.00,N,http://conventional-fanny-pack.info,unbranded-rubber-towels,Health
efff5b82-d501-42c1-afd2-9bd51d1df350,Oriental Metal Keyboard,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,CZV-252,410.00,Q,http://realistic-suite.biz,oriental-metal-keyboard,Music
6ce679e3-0e97-4014-a6ad-d8fc00cf4c13,Rustic Granite Cheese,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",MIZ-971,660.00,X,https://unimportant-bracket.com,rustic-granite-cheese,Books
45470af5-65ac-4d20-83eb-dae3aafc1cde,Unbranded Soft Salad,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",KTX-815,306.00,T,http://heavenly-coinsurance.com,unbranded-soft-salad,Music
f7f65aef-948f-4891-878f-0709cb4f39d0,Recycled Frozen Shirt,The Football Is Good For Training And Recreational Purposes,PAZ-908,602.00,X,http://somber-smelting.net,recycled-frozen-shirt,Home
be99b395-e7ab-4f57-acdc-e995b636886b,Tasty Steel Mouse,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,TZX-974,55.00,M,https://impractical-raft.org,tasty-steel-mouse,Sports
3b286174-e02d-4207-9bce-f47e7e217b79,Oriental Frozen Gloves,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",ASD-750,929.00,S,https://other-grey.biz,oriental-frozen-gloves,Beauty
